"Name","State","Notes","User","Tags","Created","Runtime","Sweep","config","convnet_type","dataset","device","fixed_memory","increment","init_cls","memory_per_class","memory_size","model_name","prefix","pretrained","run_name","seed","shuffle","data_augmentation","dropout","baseline","args/baseline","args/convnet_type","args/data_augmentation","args/dataset","args/dropout","args/increment","args/init_cls","args/model_name","args/prefix","args/pretrained","args/run_name","args/seed","args/shuffle","batch_size","gamma","lr","args/batch_size","args/checkpoint_path","args/max_epoch","args/patience","args/validation_fraction","onlytop","grid_search_ids","adam","args/early_stopping_delta","args/n_tasks","weight_align","checkpoint_path","early_stopping_delta","max_epoch","min_delta","n_tasks","patience","sparsity_lambda","weight_aligning","CIL/top1_acc","CIL/top5_acc","epoch","metrics/top1_acc","metrics/top5_acc","task0-test/acc","task0-train/acc","task0/test_acc","task0/train_acc","task1-test/acc","task1-train/acc","task1/test_acc","task1/train_acc","task2/test_acc","task2/train_acc","task3/test_acc","task3/train_acc","task4/test_acc","task4/train_acc","task5/test_acc","task5/train_acc","task6/test_acc","task6/train_acc","task7/test_acc","task7/train_acc","task_0/test_acc","task_0/train_acc","task_1/test_acc","task_1/train_acc","task_2/test_acc","task_2/train_acc","task_3/test_acc","task_3/train_acc","top1-acc","top5-acc","task","task0/val_acc","test_acc","test_loss","train_acc","train_loss","trainer/global_step","val_acc","val_loss","task1/val_acc","task2/val_acc","task3/val_acc","task4/val_acc","task5/val_acc","task6/val_acc","task7/val_acc","task8/train_acc","task8/val_acc","CIL/n_parameters","task0/val_clf_loss","task0/val_loss","task0/val_sparsity_loss","task1/val_clf_loss","task1/val_loss","task1/val_sparsity_loss","task2/val_clf_loss","task2/val_loss","task2/val_sparsity_loss","task3/val_clf_loss","task3/val_loss","task3/val_sparsity_loss","task4/val_clf_loss","task4/val_loss","task4/val_sparsity_loss","task5/val_clf_loss","task5/val_loss","task5/val_sparsity_loss","task6/val_clf_loss","task6/val_loss","task6/val_sparsity_loss","task7/val_clf_loss","task7/val_loss","task7/val_sparsity_loss","task8/val_clf_loss","task8/val_loss","task8/val_sparsity_loss","CIL/memory_size","task9/train_acc","task9/val_acc"
"BASELINE-der-from_scratch-100_classes-drop0.1","finished","-","gianlucagiudice","adam, baseline, baseline-der, onlytop","2022-05-10T15:04:20.000Z","3093","","","","","","","","","","","","","","","","","","","","true","resnet34","true","LogoDet-3K_cropped","0.1","10","30","der","reproduce","true","BASELINE-der-from_scratch-100_classes-drop0.1","830694","true","512","","0.001","512","model_checkpoint","150","40","","","","","0","7","","","","","","","","","","98.52941131591795","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.9852941036224364","0.10689198225736618","1","0.00021976442076265812","900","0.9823529124259948","0.04134859889745712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-der-from_scratch-100_classes-drop0.3","finished","-","gianlucagiudice","adam, baseline, baseline-der, onlytop","2022-05-10T15:56:06.000Z","4098","","","","","","","","","","","","","","","","","","","","true","resnet34","true","LogoDet-3K_cropped","0.3","10","30","der","reproduce","true","BASELINE-der-from_scratch-100_classes-drop0.3","830694","true","512","","0.001","512","model_checkpoint","150","40","","","","","0","7","","","","","","","","","","97.05882263183594","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.970588207244873","0.18183693289756775","1","0.0003820349520538002","1210","0.9764705896377563","0.13765592873096466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-der-from_scratch-100_classes-drop0.5","finished","-","gianlucagiudice","adam, baseline, baseline-der, onlytop","2022-05-10T18:09:04.000Z","4012","","","","","","","","","","","","","","","","","","","","true","resnet34","true","LogoDet-3K_cropped","0.5","10","30","der","reproduce","true","BASELINE-der-from_scratch-100_classes-drop0.5","830694","true","512","","0.001","512","model_checkpoint","150","40","","","","","0","7","","","","","","","","","","97.64705657958984","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.9764705896377563","0.1345900446176529","1","0.0006830742349848151","1210","0.9764705896377563","0.07265931367874146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-der-from_scratch-2993_classes-drop0.1","finished","-","gianlucagiudice","baseline, baseline-der, onlytop","2022-06-04T14:34:17.000Z","89219","","","resnet34","LogoDet-3K_cropped","","","250","1000","","","der","reproduce","true","BASELINE-{}-from_scratch-{}_classes-drop{}","830694","true","true","0.1","true","true","resnet34","true","LogoDet-3K_cropped","0.1","250","1000","der","reproduce","true","BASELINE-{}-from_scratch-{}_classes-drop{}","830694","true","256","","0.001","256","model_checkpoint","150","30","","","","","0","8","","model_checkpoint","0","150","","8","30","","","88.48484802246094","","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.8848484754562378","0.8301197290420532","0.9951691031455994","0.010356035083532332","45666","0.8989899158477783","0.8964728116989136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-resnet152-from_scratch-100_classes-drop0.1-onlytop","finished","-","gianlucagiudice","adam, baseline, baseline-resnet, onlytop","2022-05-04T20:02:00.000Z","6110","","","","","","","","","","","","","","","","","","","","true","None","true","LogoDet-3K_cropped","0.1","10","100","der","reproduce","None","BASELINE-FAIR_resnet152-from_scratch-100_classes-drop0.1","830694","true","64","","0.001","64","model_checkpoint","150","40","","","","","","","","","","","","","","","","82.35294342041016","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.8235294222831726","0.4012187719345093","1","0.00439083157107234","12366","0.9743589758872986","0.08189129829406738","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-resnet152-from_scratch-100_classes-drop0.3-onlytop","finished","-","gianlucagiudice","adam, baseline, baseline-resnet, onlytop","2022-05-04T15:25:33.000Z","5103","","","","","","","","","","","","","","","","","","","","true","None","true","LogoDet-3K_cropped","0.3","10","100","der","reproduce","None","BASELINE-FAIR_resnet152-from_scratch-100_classes-drop0.3","830694","true","64","","0.001","64","model_checkpoint","150","40","","","","","","","","","","","","","","","","94.11764526367188","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.9411764740943908","0.14998739957809448","1","0.03798538446426392","10305","0.8974359035491943","0.20484204590320587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE-resnet152-from_scratch-100_classes-drop0.5-onlytop","finished","-","gianlucagiudice","adam, baseline, baseline-resnet, onlytop","2022-05-04T13:40:45.000Z","6267","","","","","","","","","","","","","","","","","","","","true","None","true","LogoDet-3K_cropped","0.5","10","100","der","reproduce","None","BASELINE-FAIR_resnet152-from_scratch-100_classes-drop0.5","830694","true","64","","0.001","64","model_checkpoint","150","40","","","","","","","","","","","","","","","","88.23529815673828","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.8823529481887817","0.3506392538547516","1","0.021915581077337265","10305","0.9230769276618958","0.22227366268634796","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE_resnet34-nopretrained-drop0.1-augmented","finished","-","gianlucagiudice","baseline, no-onlytop, unfair-baseline","2022-04-17T06:09:01.000Z","6287","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","100","1000","2000","der","reproduce","false","exp_grid-search_BASELINE_3_arch=resnet34_pretrained=False_dropout=0.1","830694","true","true","0.1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.41","96.14","144","","","","","62.37","73.61","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE_resnet34-nopretrained-drop0.3-augmented","finished","-","gianlucagiudice","baseline, no-onlytop, unfair-baseline","2022-04-17T07:53:54.000Z","3987","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","100","1000","2000","der","reproduce","false","exp_grid-search_BASELINE_4_arch=resnet34_pretrained=False_dropout=0.3","830694","true","true","0.3","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.85","95.55","128","","","","","62.87","72.25","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASELINE_resnet34-nopretrained-drop0.5-augmented","finished","-","gianlucagiudice","baseline, no-onlytop, unfair-baseline","2022-04-17T09:00:26.000Z","6116","","exps/CIL_LogoDet-3k_grid_search.json","resnet34","LogoDet-3K_cropped","","true","10","100","1000","2000","der","reproduce","false","exp_grid-search_BASELINE_5_arch=resnet34_pretrained=False_dropout=0.5","830694","true","true","0.5","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.49","92.85","199","","","","","60.15","65.01","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
